Source,Target,Type,Id,Label,timeset,Weight
1,3,Undirected,831,,,4
1,4,Undirected,832,,,4
4,4,Undirected,833,,,4
4,4,Undirected,834,,,110
4,3,Undirected,836,,,4
5,5,Undirected,838,,,4
1,1,Undirected,839,,,4
5,4,Undirected,842,,,4
5,5,Undirected,843,,,4
1,4,Undirected,844,,,6
4,4,Undirected,845,,,3
2,2,Undirected,846,,,3
2,2,Undirected,847,,,3
2,2,Undirected,849,,,3
5,5,Undirected,850,,,3
5,4,Undirected,851,,,3
5,5,Undirected,852,,,3
4,1,Undirected,853,,,3
4,4,Undirected,854,,,61
4,4,Undirected,858,,,3
1,1,Undirected,860,,,12
0,0,Undirected,861,,,3
5,5,Undirected,862,,,3
5,5,Undirected,863,,,3
5,5,Undirected,865,,,3
2,4,Undirected,866,,,3
2,2,Undirected,867,,,3
2,2,Undirected,868,,,3
2,4,Undirected,869,,,3
2,4,Undirected,870,,,3
0,0,Undirected,871,,,3
0,0,Undirected,872,,,3
4,1,Undirected,873,,,3
4,4,Undirected,875,,,3
1,4,Undirected,876,,,3
2,4,Undirected,878,,,3
4,5,Undirected,881,,,3
0,0,Undirected,883,,,3
0,0,Undirected,884,,,3
0,0,Undirected,885,,,3
4,1,Undirected,886,,,3
3,5,Undirected,887,,,5
3,3,Undirected,888,,,43
4,4,Undirected,889,,,5
4,4,Undirected,890,,,20
5,5,Undirected,891,,,3
5,5,Undirected,892,,,3
0,0,Undirected,893,,,3
1,1,Undirected,894,,,7
4,2,Undirected,895,,,5
4,3,Undirected,896,,,3
3,5,Undirected,898,,,3
4,4,Undirected,899,,,3
4,4,Undirected,900,,,8
0,0,Undirected,901,,,3
5,5,Undirected,904,,,3
5,5,Undirected,906,,,3
2,2,Undirected,909,,,3
3,4,Undirected,910,,,24
4,4,Undirected,911,,,3
1,4,Undirected,912,,,8
5,4,Undirected,913,,,14
4,4,Undirected,914,,,3
4,4,Undirected,915,,,15
0,2,Undirected,916,,,2
3,4,Undirected,917,,,2
3,4,Undirected,919,,,2
4,5,Undirected,920,,,2
2,2,Undirected,921,,,2
2,4,Undirected,922,,,2
2,4,Undirected,923,,,2
2,2,Undirected,924,,,2
5,5,Undirected,927,,,2
3,1,Undirected,928,,,2
5,1,Undirected,929,,,2
5,5,Undirected,930,,,2
2,2,Undirected,931,,,2
5,5,Undirected,932,,,2
5,5,Undirected,933,,,2
4,4,Undirected,934,,,2
5,3,Undirected,936,,,79
4,4,Undirected,937,,,2
4,1,Undirected,938,,,35
4,3,Undirected,939,,,48
4,1,Undirected,940,,,12
4,5,Undirected,941,,,2
4,4,Undirected,942,,,18
5,1,Undirected,944,,,2
5,1,Undirected,945,,,2
5,5,Undirected,946,,,4
4,1,Undirected,947,,,6
4,4,Undirected,948,,,2
4,4,Undirected,949,,,4
4,1,Undirected,950,,,2
4,1,Undirected,951,,,2
4,4,Undirected,952,,,2
4,4,Undirected,953,,,2
4,4,Undirected,954,,,2
1,1,Undirected,955,,,4
1,1,Undirected,956,,,2
5,5,Undirected,957,,,2
5,5,Undirected,958,,,2
5,5,Undirected,959,,,2
1,1,Undirected,960,,,2
1,4,Undirected,961,,,2
1,4,Undirected,962,,,2
1,1,Undirected,963,,,2
1,5,Undirected,964,,,4
1,3,Undirected,965,,,5
3,3,Undirected,966,,,32
1,1,Undirected,967,,,8
5,5,Undirected,968,,,2
5,5,Undirected,969,,,2
1,1,Undirected,971,,,2
4,4,Undirected,972,,,2
4,4,Undirected,973,,,2
4,4,Undirected,974,,,2
2,2,Undirected,975,,,2
2,2,Undirected,976,,,2
2,1,Undirected,978,,,2
2,4,Undirected,979,,,2
4,4,Undirected,980,,,2
4,4,Undirected,981,,,2
5,4,Undirected,983,,,2
2,2,Undirected,987,,,2
4,1,Undirected,989,,,2
4,4,Undirected,991,,,12
0,0,Undirected,994,,,2
4,1,Undirected,995,,,2
0,0,Undirected,996,,,2
4,4,Undirected,997,,,2
4,4,Undirected,998,,,2
3,4,Undirected,999,,,2
4,1,Undirected,1000,,,2
4,5,Undirected,1001,,,2
4,4,Undirected,1002,,,25
4,1,Undirected,1004,,,2
4,4,Undirected,1005,,,12
1,3,Undirected,1006,,,2
4,4,Undirected,1008,,,2
3,4,Undirected,1009,,,2
4,3,Undirected,1010,,,2
4,4,Undirected,1011,,,26
2,4,Undirected,1016,,,2
4,4,Undirected,1017,,,2
0,0,Undirected,1018,,,2
5,5,Undirected,1019,,,122
5,5,Undirected,1021,,,2
2,2,Undirected,1022,,,2
5,5,Undirected,1023,,,11
5,5,Undirected,1024,,,5
5,5,Undirected,1025,,,2
3,5,Undirected,1026,,,2
5,5,Undirected,1028,,,2
0,0,Undirected,1030,,,2
5,4,Undirected,1031,,,2
5,4,Undirected,1032,,,2
4,4,Undirected,1034,,,2
5,5,Undirected,1038,,,235
0,0,Undirected,1049,,,221
5,5,Undirected,1050,,,107
2,2,Undirected,1052,,,63
4,3,Undirected,1053,,,71
4,4,Undirected,1054,,,59
0,0,Undirected,1055,,,91
0,0,Undirected,1059,,,54
4,4,Undirected,1060,,,90
1,2,Undirected,1061,,,111
5,5,Undirected,1064,,,46
2,1,Undirected,1065,,,48
1,1,Undirected,1069,,,103
4,4,Undirected,1070,,,40
0,0,Undirected,1072,,,107
1,1,Undirected,1073,,,37
0,0,Undirected,1074,,,225
4,4,Undirected,1078,,,49
1,1,Undirected,1079,,,286
5,5,Undirected,1080,,,34
2,2,Undirected,1081,,,51
4,4,Undirected,1083,,,131
1,1,Undirected,1085,,,32
4,4,Undirected,1087,,,40
4,3,Undirected,1088,,,33
1,1,Undirected,1089,,,30
5,5,Undirected,1090,,,148
4,5,Undirected,1091,,,29
