Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
MAESTER_WOLKAN,Wolkan,,31,180,4,0.478571,0.510987,196.871359,3
MAGNAR,Magnar,,1,2,4,0.342419,0.357172,0,1
LADY_CRANE,Lady Crane,,14,180,4,0.411885,0.441957,52.14553,2
RAY,Ray,,4,56,4,0.345361,0.36194,60.562292,2
KHAL_MORO,Khal Moro,,4,43,4,0.352632,0.371891,0.666667,0
SMALLJON,Smalljon,,13,84,4,0.398414,0.427239,22.047579,5
CAMELLO,Camello,,9,55,4,0.402806,0.428897,1.508427,2
ROBETT,Robett,,13,89,4,0.41658,0.445274,10.203656,1
EURON,Euron,,22,323,4,0.455782,0.486111,172.186195,4
BIANCA,Bianca,,12,80,4,0.413155,0.441542,4.732423,2
BOBONO,Bobono,,13,82,4,0.416149,0.445274,6.667913,2
IZEMBARO,Izembaro,,13,80,4,0.417445,0.44631,5.919721,2
YEZZAN,Yezzan,,7,51,4,0.388406,0.412728,0,0
LHAZAREEN_WOMAN,Lhazareen Woman,,4,30,4,0.352323,0.371476,0,0
KINVARA,Kinvara,,3,28,4,0.385427,0.406095,0,4
VALA,Vala,,3,19,4,0.360215,0.378524,14.209687,4
WUN_WUN,Wun Wun,,11,60,4,0.393346,0.420605,11.064129,1
MAESTER_CITADEL,Citadel Maester,,2,17,4,0.342711,0.358416,0,1
ARTHUR,Arthur,,4,22,4,0.361511,0.380597,0,3
TALLA,Talla,,6,38,4,0.34745,0.366708,0.166667,1
CLARENZO,Clarenzo,,12,73,4,0.408122,0.436567,3.908245,2
DICKON,Dickon,,10,106,4,0.412731,0.439055,76.021787,1
LEM,Lem,,6,27,4,0.348052,0.36733,118.06525,2
SON_OFWALDA,Roose's Son,,2,21,5,0.296898,0.311318,0,5
RAZDAL,Razdal,,7,46,4,0.388406,0.412728,0,0
AERON,Aeron,,4,25,4,0.349565,0.366086,0,5
GATINS,Gatins,,1,9,4,0.342128,0.3551,0,2
DOSH_KHALEEN_LEADER,Dosh Khaleen Leader,,4,20,4,0.352323,0.371476,0,0
BELICHO,Belicho,,7,32,4,0.388406,0.412728,0,0
GUARD_CAPTAIN,Guard Captain,,2,13,5,0.31829,0.331841,0,5
GLOVER,Glover,,6,21,4,0.393346,0.416045,5.393378,1
MAESTER_MORMONT,Mormont Maester,,4,21,4,0.383954,0.404643,0,1
ARTHUR_CHILD,Arthur (child),,1,6,5,0.321857,0.33238,0,4
DIM_DALBA,Dim Dalba,,5,16,4,0.385057,0.406716,0,1
DOM,Dom,,2,8,4,0.344768,0.358002,0,4
MAESTER_DORNE,Dorne Maester,,4,11,5,0.309469,0.325871,0,4
HOWLAND,Howland,,5,15,4,0.361836,0.381841,0.25,3
MANDERLY,Manderly,,4,13,4,0.370849,0.390133,0.166667,1
HARALD,Harald,,7,21,4,0.388406,0.411899,0,5
SON_OF_EDMURE,Edmure's Son,,3,8,4,0.367795,0.387231,0.427978,4
