Source,Target,Type,Id,Label,timeset,Weight
SANSA,YOREN,Undirected,328,,,4
SHAE,TYWIN,Undirected,329,,,29
STEVRON_FREY,WALDER,Undirected,330,,,4
WAYMAR_ROYCE,WILL,Undirected,331,,,4
ADDAM_MARBRAND,KEVAN,Undirected,332,,,3
ADDAM_MARBRAND,LEO_LEFFORD,Undirected,333,,,3
AERYS,JAIME,Undirected,334,,,13
AERYS,RHAEGAR,Undirected,335,,,3
ALLISER_THORNE,OTHELL_YARWYCK,Undirected,336,,,12
ARYA,JAIME,Undirected,337,,,8
ARYA,PYCELLE,Undirected,338,,,3
ASSASSIN,CATELYN,Undirected,339,,,3
BAELOR,ILYN_PAYNE,Undirected,340,,,3
BALON,THEON,Undirected,341,,,84
BARRISTAN,LANCEL,Undirected,342,,,3
BARRISTAN,RENLY,Undirected,343,,,3
BERIC,NED,Undirected,344,,,8
BRAN,WILL,Undirected,345,,,3
BRANDON_STARK,NED,Undirected,346,,,3
BRONN,MORD,Undirected,347,,,3
BRONN,ROBIN,Undirected,348,,,3
CATELYN,HOSTER,Undirected,349,,,13
CATELYN,JOFFREY,Undirected,350,,,8
CATELYN,MASHA_HEDDLE,Undirected,351,,,3
CATELYN,YOREN,Undirected,352,,,3
CERSEI,ILYN_PAYNE,Undirected,353,,,8
CERSEI,JON,Undirected,354,,,30
CERSEI,JON_ARRYN,Undirected,355,,,3
CERSEI,LANCEL,Undirected,356,,,60
CERSEI,RENLY,Undirected,357,,,3
CERSEI,TYWIN,Undirected,358,,,214
COHOLLO,DROGO,Undirected,359,,,3
DAENERYS,NED,Undirected,360,,,6
DOREAH,DROGO,Undirected,361,,,3
DOREAH,WINE_MERCHANT,Undirected,362,,,3
GENDRY,HOT_PIE,Undirected,363,,,40
GREATJON_UMBER,JAIME,Undirected,364,,,3
GREATJON_UMBER,TYWIN,Undirected,365,,,3
HODOR,ROBB,Undirected,366,,,3
HODOR,THEON,Undirected,367,,,8
HODOR,TYRION,Undirected,368,,,3
HOSTER,WALDER,Undirected,369,,,6
HOUND,ILYN_PAYNE,Undirected,370,,,5
IRRI,JHIQUI,Undirected,371,,,3
IRRI,VISERYS,Undirected,372,,,3
JANOS,RENLY,Undirected,373,,,3
JEOR,NED,Undirected,374,,,3
JEOR,ROBERT,Undirected,375,,,3
JOFFREY,RENLY,Undirected,376,,,13
JOFFREY,TYWIN,Undirected,377,,,98
JOFFREY,YOREN,Undirected,378,,,3
JON,ROBERT,Undirected,379,,,6
JON,WILL,Undirected,380,,,3
JON_ARRYN,PYCELLE,Undirected,381,,,5
JON_ARRYN,ROBIN,Undirected,382,,,5
JORAH,RHAEGO,Undirected,383,,,3
LITTLEFINGER,STANNIS,Undirected,384,,,16
LORAS,ROBERT,Undirected,385,,,3
LYANNA,ROBERT,Undirected,386,,,5
MERYN_TRANT,NED,Undirected,387,,,3
MORD,ROBIN,Undirected,388,,,3
MORD,VARDIS_EGEN,Undirected,389,,,3
MYCAH,NED,Undirected,390,,,3
MYRCELLA,TYRION,Undirected,391,,,16
NED,PYP,Undirected,392,,,3
NED,WILL,Undirected,393,,,3
OSHA,RICKON,Undirected,394,,,34
QOTHO,RAKHARO,Undirected,395,,,3
RAKHARO,VISERYS,Undirected,396,,,3
RAKHARO,WINE_MERCHANT,Undirected,397,,,3
RAST,TYRION,Undirected,398,,,3
RENLY,ROBB,Undirected,399,,,11
RICKON,ROBB,Undirected,400,,,5
ROBIN,VARDIS_EGEN,Undirected,401,,,3
THEON,WALDER,Undirected,402,,,3
VARYS,YOREN,Undirected,403,,,3
