Id,Label,timeset,Degree,Weighted Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,modularity_class
Jeor-Mormont,Jeor-Mormont,,2,14,7,0.262458,0.299375,0,1
Squirrel,Squirrel,,4,20,7,0.267117,0.30101,2.02619,3
Nyessos-Vhassar,Nyessos-Vhassar,,2,10,6,0.248428,0.268829,315,0
Patrek-of-Kings-Mountain,Patrek-of-Kings-Mountain,,4,20,7,0.263553,0.304121,0.333333,1
Rattleshirt,Rattleshirt,,2,29,7,0.264214,0.302275,0,1
Soren-Shieldbreaker,Soren-Shieldbreaker,,1,3,7,0.262241,0.297792,0,1
Tom-Barleycorn,Tom-Barleycorn,,1,4,7,0.262241,0.297792,0,1
Toregg,Toregg,,3,18,7,0.262895,0.301484,0,1
Ulmer,Ulmer,,1,3,7,0.262241,0.297792,0,1
Weeper,Weeper,,3,16,7,0.262895,0.301484,0.666667,1
Wun-Weg-Wun-Dar-Wun,Wun-Weg-Wun-Dar-Wun,,4,28,7,0.263553,0.304121,1.916667,1
Ygritte,Ygritte,,2,17,7,0.264214,0.302275,0,1
Nurse,Nurse,,4,28,6,0.288058,0.311498,0.333333,0
Joramun,Joramun,,2,7,7,0.257329,0.283077,0,1
Richard-Horpe,Richard-Horpe,,2,10,6,0.302392,0.325633,0,2
Kerwin,Kerwin,,1,12,7,0.21975,0.239444,0,2
Randyll-Tarly,Randyll-Tarly,,3,14,7,0.241221,0.26314,1,7
Ronnet-Connington,Ronnet-Connington,,1,3,7,0.228489,0.242676,0,7
Longwater-Pyke,Longwater-Pyke,,1,3,7,0.21975,0.239444,0,2
Luton,Luton,,1,3,8,0.203346,0.217993,0,3
Lyanna-Mormont,Lyanna-Mormont,,1,3,6,0.302103,0.324051,0,1
Lyanna-Stark,Lyanna-Stark,,1,4,6,0.247649,0.264451,0,0
Maege-Mormont,Maege-Mormont,,1,4,7,0.253205,0.272845,0,1
Malaquo-Maegyr,Malaquo-Maegyr,,1,7,7,0.199118,0.20981,0,0
Marya-Seaworth,Marya-Seaworth,,1,3,6,0.302103,0.324051,0,1
Rodrik-Sparr,Rodrik-Sparr,,2,11,7,0.24159,0.260473,0,2
Morgo,Morgo,,1,4,6,0.287273,0.306751,0,0
Trystane-Martell,Trystane-Martell,,1,4,6,0.264878,0.277532,0,7
Yezzan-zo-Qaggaz,Yezzan-zo-Qaggaz,,5,48,6,0.288321,0.31308,1.833333,0
Tyene-Sand,Tyene-Sand,,2,13,7,0.199873,0.213397,0,7
Old-Bill-Bone,Old-Bill-Bone,,1,3,7,0.217631,0.242985,0,4
Patchface,Patchface,,2,6,7,0.247261,0.267887,0,1
Sweets,Sweets,,3,17,6,0.287796,0.309916,0,0
Petyr-Baelish,Petyr-Baelish,,1,4,7,0.240487,0.257181,0,0
Ralf-(Limper),Ralf-(Limper),,1,3,7,0.21975,0.239444,0,2
Walder-Frey-(son-of-Merrett),Walder-Frey-(son-of-Merrett),,3,19,7,0.254428,0.282392,1.166667,3
Yellow-Dick,Yellow-Dick,,3,15,7,0.254428,0.282392,0,3
Rodrik-Cassel,Rodrik-Cassel,,2,6,7,0.264878,0.293889,0,3
Walda-Frey-(daughter-of-Merrett),Walda-Frey-(daughter-of-Merrett),,2,7,7,0.253815,0.280018,0,3
Roose-Ryswell,Roose-Ryswell,,1,3,6,0.302103,0.324051,0,1
Scar,Scar,,2,12,6,0.287534,0.308333,0,0
Shae,Shae,,1,4,7,0.223638,0.233921,0,0
Tysha,Tysha,,2,8,6,0.287796,0.308861,315,0
Shrouded-Lord,Shrouded-Lord,,1,4,6,0.287273,0.306751,0,0
Theomore,Theomore,,2,6,6,0.304725,0.329325,0,5
William-Foxglove,William-Foxglove,,1,3,6,0.302103,0.324051,0,1
Walder-Frey-(son-of-Jammos),Walder-Frey-(son-of-Jammos),,2,16,7,0.253815,0.280018,0,3
Wex-Pyke,Wex-Pyke,,1,3,7,0.253612,0.278436,0,3
Willow-Witch-eye,Willow-Witch-eye,,1,4,7,0.253612,0.278436,0,3
Thistle,Thistle,,1,7,8,0.203215,0.216139,0,8
Wylis-Manderly,Wylis-Manderly,,1,3,6,0.264214,0.27711,0,0
Wulfe,Wulfe,,1,3,7,0.21975,0.239444,0,2
